,partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
14597,7300,4,America-MG,20,6,57.0,413,82.0,16,1,0,2,3
14598,7303,4,Atletico-GO,9,1,57.0,378,79.0,18,3,0,0,9
14599,7303,4,Fortaleza,5,1,43.0,298,73.0,13,1,0,6,4
14600,7304,4,Santos,18,8,71.0,616,86.0,9,3,0,1,9
14601,7304,4,Fluminense,9,5,29.0,249,65.0,14,4,0,1,2
14602,7302,4,Sport,10,4,33.0,301,71.0,16,5,0,1,2
14603,7302,4,Gremio,14,7,67.0,600,87.0,11,4,0,2,7
14604,7306,5,Bragantino,9,4,32.0,272,76.0,13,3,0,2,2
14605,7306,5,Flamengo,20,9,68.0,561,87.0,15,2,0,0,14
14606,7307,5,America-MG,12,5,42.0,316,72.0,10,4,0,3,5
14607,7307,5,Palmeiras,15,6,58.0,422,77.0,15,3,0,0,7
14608,7308,5,Bahia,12,2,52.0,535,86.0,10,1,0,0,3
14609,7308,5,Corinthians,10,3,48.0,505,83.0,18,3,0,2,8
14610,7309,5,Ceara,14,2,38.0,252,64.0,23,3,0,1,7
14611,7309,5,Internacional,10,3,62.0,407,74.0,16,2,0,1,6
14612,7311,5,Athletico-PR,12,3,49.0,440,83.0,17,2,0,2,4
14613,7311,5,Atletico-GO,10,3,51.0,477,82.0,15,2,0,1,3
14614,7310,5,Fortaleza,16,2,63.0,534,86.0,14,3,0,6,7
14615,7310,5,Fluminense,4,3,37.0,321,74.0,17,0,0,2,3
14616,7312,5,Santos,11,5,38.0,271,66.0,22,2,0,3,3
14617,7312,5,Sao Paulo,8,1,62.0,413,75.0,20,4,0,2,7
14618,7313,5,Sport,13,2,49.0,484,84.0,9,0,0,1,5
14619,7313,5,Juventude,8,4,51.0,508,84.0,16,4,0,2,3
14620,7314,5,Chapecoense,13,1,33.0,281,72.0,10,1,0,2,7
14621,7314,5,Atletico-MG,14,2,67.0,593,88.0,9,1,0,0,9
14622,7317,6,Sao Paulo,17,7,66.0,614,87.0,18,1,0,3,5
14623,7317,6,Cuiaba,5,3,34.0,323,72.0,14,1,0,0,2
14624,7318,6,Flamengo,19,7,63.0,470,84.0,18,1,0,1,11
